account,account_name,profile_url,id,url,created_at,content,likes,reposts,comments,views,bookmarks,has_media
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2067622370635129048,https://x.com/EpochAIResearch/status/2067622370635129048,Thu Jun 18 14:56:02 +0000 2026,Help shape how the world understands AI. We're hiring two designers at Epoch AI to turn complex research into dashboards and visualizations researchers and policymakers can easily use. https://t.co/uDPaX6vGwh,37,5,3,6762,8,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2067361515506937870,https://x.com/EpochAIResearch/status/2067361515506937870,Wed Jun 17 21:39:29 +0000 2026,"How close is AI to automating AI R&amp;D? Right now, the tools economists use to track automation are too blunt to say.

In this week's newsletter, @datagenproc, @joemkwon, and @ansonwhho propose a sharper tool: a thorough taxonomy of 60+ tasks involved in frontier AI research. 🧵 https://t.co/sCRogvjgwL",173,30,10,15778,95,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2066955235529203766,https://x.com/EpochAIResearch/status/2066955235529203766,Tue Jun 16 18:45:04 +0000 2026,"While these companies continue to be profitable, and all but Oracle still have substantial cash reserves, most have already turned to external financing to fund their growing investments in AI infrastructure, e.g., Alphabet's recent $85 billion equity raise.",43,1,1,3475,5,False
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2066955223437058115,https://x.com/EpochAIResearch/status/2066955223437058115,Tue Jun 16 18:45:02 +0000 2026,"The end of the self-funded AI buildout?

Hyperscaler cash capex is growing much faster than cash inflows. On current trends, they will be unable to fully fund the AI infrastructure buildout with cash from operations by the end of this year. https://t.co/qHcXs4rn93",411,70,12,87993,166,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2066674892809101767,https://x.com/EpochAIResearch/status/2066674892809101767,Tue Jun 16 00:11:06 +0000 2026,"Claude Fable 5 achieves a new high score of 161 on the Epoch Capabilities Index! This beats out GPT-5.5 Pro by 1 point, and is the first time Anthropic has taken the lead on the ECI in over a year. https://t.co/qBArsYoZF1",537,42,34,107106,90,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2065511916035018943,https://x.com/EpochAIResearch/status/2065511916035018943,Fri Jun 12 19:09:50 +0000 2026,"Claude Fable 5 scores very well on FrontierMath: Tiers 1–4 (v2), reaching 87% on Tiers 1–3 and 88% on Tier 4. This continues a streak of Anthropic models improving rapidly at math. https://t.co/tLLRWDoA5o",1038,142,45,496480,176,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2065488154086568445,https://x.com/EpochAIResearch/status/2065488154086568445,Fri Jun 12 17:35:25 +0000 2026,"FrontierMath: Tiers 1–4 (v2) is live.

We concluded an audit that addressed errors in 42% of problems. Rankings are similar but scores are higher across the board. The current leaders are GPT-5.5 (xhigh) with 85% on Tiers 1–3 and Google’s AI co-mathematician with 76% on Tier 4. https://t.co/DH9nhpKH0N",585,67,27,118930,95,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2065488154086568445,https://x.com/EpochAIResearch/status/2065488154086568445,Fri Jun 12 17:35:25 +0000 2026,"FrontierMath: Tiers 1–4 (v2) is live.

We concluded an audit that addressed errors in 42% of problems. Rankings are similar but scores are higher across the board. The current leaders are GPT-5.5 (xhigh) with 85% on Tiers 1–3 and Google’s AI co-mathematician with 76% on Tier 4. https://t.co/DH9nhpKH0N",585,67,27,118930,95,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2065181455937056813,https://x.com/EpochAIResearch/status/2065181455937056813,Thu Jun 11 21:16:42 +0000 2026,"How big a leap is Mythos in cyber capabilities?

@timotheechauvin, @AlexBarry4, @js_denain, and @ansonwhho compiled the public evidence and found that while it’s unclear if Mythos was ahead of trend in discovering vulnerabilities, it represents a big jump in exploiting them. 🧵 https://t.co/xxxl4glxv8",350,38,8,34549,102,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2065131037324402744,https://x.com/EpochAIResearch/status/2065131037324402744,Thu Jun 11 17:56:22 +0000 2026,"The record for computing capacity in a single data center has doubled every 7 months.

Colossus 1, Anthropic-Amazon New Carlisle, and Meta Prometheus have each claimed the top spot in turn. https://t.co/YZNbvYbMXX",287,47,8,29640,73,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2065131037324402744,https://x.com/EpochAIResearch/status/2065131037324402744,Thu Jun 11 17:56:22 +0000 2026,"The record for computing capacity in a single data center has doubled every 7 months.

Colossus 1, Anthropic-Amazon New Carlisle, and Meta Prometheus have each claimed the top spot in turn. https://t.co/YZNbvYbMXX",287,47,8,29640,73,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2064739121973829978,https://x.com/EpochAIResearch/status/2064739121973829978,Wed Jun 10 15:59:02 +0000 2026,"How should we think through various proposals for sharing the gains of AGI?

According to @pawtrammell and @ansonwhho, the leading proposals for universal redistribution after AGI differ along a primary axis: how much direct control over capital they propose giving citizens. 🧵 https://t.co/JpbWKxPfZp",52,5,7,5477,22,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2063027791638237487,https://x.com/EpochAIResearch/status/2063027791638237487,Fri Jun 05 22:38:49 +0000 2026,"AI companies say their models are getting better at finding software vulnerabilities. Is that bearing out in public data?

Introducing our Cyber Vulnerabilities explorer, which visualizes Common Vulnerabilities and Exposures (CVE) reported to the CVE Program since 2022. https://t.co/WxkhIORMtR",320,47,11,51731,76,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2062933470373146828,https://x.com/EpochAIResearch/status/2062933470373146828,Fri Jun 05 16:24:01 +0000 2026,"The AI boom has doubled computing infrastructure's share of US GDP.

Investment in AI-related data center construction, compute hardware, and networking equipment accounted for ~0.8% of US GDP in Q1 2026, driving computing infrastructure as a whole to ~1.5% of GDP. https://t.co/5Qi9PDe6e7",153,33,8,9163,38,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2060451576779886942,https://x.com/EpochAIResearch/status/2060451576779886942,Fri May 29 20:01:51 +0000 2026,"We took another look at the capability gap between open-weight and proprietary models. Since the start of the year, open-weight models have lagged the state of the art by four months. https://t.co/Oi3cMpGtx3",816,144,33,349985,280,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2060451576779886942,https://x.com/EpochAIResearch/status/2060451576779886942,Fri May 29 20:01:51 +0000 2026,"We took another look at the capability gap between open-weight and proprietary models. Since the start of the year, open-weight models have lagged the state of the art by four months. https://t.co/Oi3cMpGtx3",816,144,33,349985,280,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2060096279808745759,https://x.com/EpochAIResearch/status/2060096279808745759,Thu May 28 20:30:02 +0000 2026,"We've added narrations to our long-form content on the Epoch AI website, including reports, Gradient Updates, and topic overviews.

Look for the play button. https://t.co/VdcmkUGXfl",35,2,3,4547,14,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2060076222873526506,https://x.com/EpochAIResearch/status/2060076222873526506,Thu May 28 19:10:20 +0000 2026,"Hyperscaler capital expenditures came in on trend in Q1 2026, continuing the trajectory that projects them spending $770 billion this year and over a trillion dollars in 2027. https://t.co/M9SULVukV2",189,45,5,20228,67,True
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2059372963645055376,https://x.com/EpochAIResearch/status/2059372963645055376,Tue May 26 20:35:50 +0000 2026,"Our supply estimate is based on serving Kimi K2.6, a trillion-parameter model with 32B active parameters. Using 8k:1k input-to-output token requests, we estimate it would be possible to serve ~20B output tok/s, enough to serve every person on earth 7M tokens per month.",32,0,1,3406,2,False
EpochAIResearch,Epoch AI,https://x.com/EpochAIResearch,2059372951338909717,https://x.com/EpochAIResearch/status/2059372951338909717,Tue May 26 20:35:47 +0000 2026,"Are we nearing a compute crunch?

In our latest Gradient Update, @luke__emberson and @Jsevillamol estimate how many tokens all the Blackwell chips on Earth could serve, and compare this to total token demand. Direct comparisons are difficult, but it appears demand is growing much https://t.co/oaqB0B5Od5",270,34,7,29355,137,True
